technology,window_number,window_start_date,window_end_date,days_since_launch,video_count,mean_sentiment,median_sentiment,sentiment_std,proportion_positive,proportion_negative,mean_views,mean_hyperbole,mean_complexity,dominant_topic,topic_diversity,mean_duration,mean_subscriber_count,dominant_category,category_diversity,prop_sci_tech,mean_like_ratio,mean_comment_ratio,sentiment_slope
GPT-4,27,2023-09-12 00:00:00,2023-09-26 00:00:00,182,8,0.575,0.6499999999999999,0.276457178290909,1.0,0.0,40663.875,0.5,0.5,Practical Application,0.5,934.625,1461265.25,Education,0.125,0.25,0.03901664704705445,0.002992099715449681,0.04742857142857143
GPT-4,28,2023-09-26 00:00:00,2023-10-10 00:00:00,196,11,0.6454545454545454,0.7,0.21616492020508954,1.0,0.0,28300.18181818182,0.5181818181818182,0.3909090909090909,Enthusiast/Reaction,0.6666666666666666,529.0909090909091,171373.63636363635,Travel & Events,0.21875,0.18181818181818182,0.042104132353685444,0.0015644218204000477,0.044571428571428574
GPT-4,29,2023-10-10 00:00:00,2023-10-24 00:00:00,210,12,0.65,0.7,0.19771421064483224,1.0,0.0,28600.333333333332,0.5499999999999999,0.44166666666666665,Enthusiast/Reaction,0.6666666666666666,926.6666666666666,191775.0,Science & Technology,0.0625,0.8333333333333334,0.036523243405905306,0.0018361861416435145,0.046590909090909086
GPT-4,30,2023-10-24 00:00:00,2023-11-07 00:00:00,224,8,0.4625,0.55,0.3739270364274675,0.875,0.125,33508.5,0.5,0.5125,News/Analysis,0.8333333333333334,1972.125,542366.25,Science & Technology,0.0625,0.875,0.023213330094453394,0.0025353443148125178,0.013259740259740261
GPT-4,31,2023-11-07 00:00:00,2023-11-21 00:00:00,238,14,0.5714285714285714,0.8,0.29464077588342524,1.0,0.0,40610.642857142855,0.5071428571428571,0.5571428571428572,Practical Application,0.6666666666666666,905.6428571428571,414027.71428571426,Science & Technology,0.09375,0.8571428571428571,0.023564390383944884,0.00234262079332568,-0.033999999999999996
GPT-4,32,2023-11-21 00:00:00,2023-12-05 00:00:00,252,8,0.4875,0.55,0.2948970764763288,1.0,0.0,32670.875,0.45,0.6124999999999999,Practical Application,0.6666666666666666,1162.0,94642.5,Science & Technology,0.0625,0.875,0.017940706439967313,0.0031325356168594633,-0.01900974025974025
GPT-4,33,2023-12-05 00:00:00,2023-12-19 00:00:00,266,6,0.5666666666666667,0.7,0.2875181153713043,1.0,0.0,21651.5,0.43333333333333335,0.5499999999999999,Practical Application,0.3333333333333333,848.5,90896.66666666667,Science & Technology,0.09375,0.5,0.01679778732331902,0.002539749311468095,-0.03944805194805195
GPT-4,34,2023-12-19 00:00:00,2024-01-02 00:00:00,280,13,0.5,0.6,0.3055050463303893,1.0,0.0,5467.538461538462,0.4461538461538461,0.5384615384615384,Practical Application,0.6666666666666666,656.7692307692307,68707.61538461539,Science & Technology,0.09375,0.6153846153846154,0.019467906630755597,0.002768759455468296,-0.014166666666666678
GPT-4,35,2024-01-02 00:00:00,2024-01-16 00:00:00,294,7,0.5714285714285714,0.7,0.29840847683606286,1.0,0.0,22242.85714285714,0.5428571428571428,0.5571428571428572,Enthusiast/Reaction,0.5,585.2857142857143,5707.714285714285,Science & Technology,0.09375,0.7142857142857143,0.011806895416802191,0.001858603132282906,0.007023809523809522
GPT-4,36,2024-01-16 00:00:00,2024-01-30 00:00:00,308,9,0.48888888888888893,0.6,0.29344694769431684,1.0,0.0,4838.888888888889,0.4222222222222222,0.6,News/Analysis,0.6666666666666666,840.5555555555555,56230.22222222222,Science & Technology,0.125,0.5555555555555556,0.019607823080960204,0.0033150267736272595,0.0012500000000000011
GPT-4,37,2024-01-30 00:00:00,2024-02-13 00:00:00,322,4,0.75,0.75,0.05773502691896263,1.0,0.0,3839.25,0.5,0.6,Practical Application,0.5,581.5,100265.0,Science & Technology,0.0625,0.75,0.02159120702534848,0.0036401596779800597,0.0007539682539682625
GPT-4,38,2024-02-13 00:00:00,2024-02-27 00:00:00,336,9,0.5777777777777778,0.8,0.3666666666666667,0.8888888888888888,0.1111111111111111,121038.66666666667,0.5444444444444444,0.5888888888888889,Practical Application,0.6666666666666666,1426.3333333333333,217122.44444444444,Science & Technology,0.09375,0.6666666666666666,0.026518906776459975,0.0026666639944063347,0.03555555555555556
GPT-4,39,2024-02-27 00:00:00,2024-03-12 00:00:00,350,11,0.6363636363636364,0.8,0.25405797477240216,1.0,0.0,37725.454545454544,0.5636363636363636,0.5454545454545454,Enthusiast/Reaction,0.6666666666666666,1076.7272727272727,66597.81818181818,Science & Technology,0.09375,0.7272727272727273,0.019868976625051993,0.004834468849216703,0.03341269841269843
